"Title","Título"
"(In cash)","(À vista)"
"APPROVED","APROVADO"
"IN ANALYSIS","EM ANÁLISE"
"NOT APPROVED","NÃO APROVADO"
"Payment data object should be provided","O objeto de dados de pagamento deve ser fornecido"
"PayPalPlus Request object should be provided","O objeto de pedido do PayPalPlus deve ser fornecido"
"Error in Payment return failed","Erro na devolução do pagamento falhou"
"PayPalPlus Credit Card Authorize Response object should be provided","O objeto de Resposta de Autorização de Cartão de Crédito PayPalPlus deve ser fornecido"
"Sandbox","Sandbox"
"Production","Produção"
"Authorize and Capture","Autorizar e Capturar"
"All Countries","Todos os países"
"Notified customer about invoice #%1.","Cliente notificado sobre a fatura #%1."
"Could not determine which mode is used!","Não foi possível determinar qual modo é usado!"
"We have identified that your store does not have the active TAX / VAT feature. To add it's support, go to <a href='%1'> Here </a> or go to Customers-> Customer Settings-> Create New Customer Account-> Display VAT number in frontend.","Identificamos que a sua loja não está com o recurso de TAX/VAT ativo. Para adicionar o suporte, acesse <a href='%1'>Aqui</a> ou vá em Clientes->Configurações de Clientes->Criar Nova Conta Para Clientes->Mostrar número VAT no frontend."
"We have identified that your store does not have an active phone, please enable to activate the module","Identificamos que a sua loja não possui um telefone ativo, favor habilitar para ativar o módulo"
"We have identified that your store does not have support for CPF / CNPJ (TAXVAT). To add support, go to <a href="%1"> Here </a> and go to Shop-> Settings-> Clients-> Name and address options-> Show TAX / VAT number.","Identificamos que a sua loja não possui suporte para CPF/CNPJ (TAXVAT). Para adicionar o suporte, acesse <a href="%1"> Aqui</a> e vá em Loja->Configurações->Clientes->Opções de nome e  endereço->Mostrar número TAX/VAT."
"Your base currency has to be BRL in order to activate this module.","Sua moeda base tem que ser BRL para ativar este módulo."
"Incorrect API credentials, please review it.","Credenciais de API incorretas, favor revisar."
"Notified customer about refund #%1.","Cliente notificado sobre reembolso #%1."
"An error occurred with Refund.","Ocorreu um erro com o reembolso."
"Remembered Card","Cartão Salvo"
"Your order <strong>#%increment_id</strong> is on hold due to a pending payment. \n\ The order will be processed after the payment is approved by the payment gateway.","O seu pedido <strong> #%increment_id </ strong> está em espera devido à uma anlálise de pagamento. \n\ O pedido será processado após o pagamento ser aprovado no gateway de pagamento"
"You can check the status of your order by <a href="%account_url">logging into your account</a>.","Você pode verificar o status do seu pedido por <a href="%account_url"> efetuar login em sua conta </a>."
"If you have questions about your order, you can email us at <a href="mailto:%store_email">%store_email</a>","Se você tiver dúvidas sobre seu pedido, você pode nos enviar um e-mail para <a href="mailto:%store_email">%store_email</a>"
"or call us at <a href="tel:%store_phone">%store_phone</a>","ou ligue para <a href="tel:%store_phone">%store_phone</a>"
"Credit Card (PayPal Plus)","Cartão de Crédito (PayPal Plus)"
"Transaction Id: ","Id da Transação: "
"State Payment: ","Status do Pagamento: "
"Installments: ","Parcelas: "
"Token PayPal: ","Token PayPal: "
"Credit Card","Cartão de Crédito"
"Please verify shipping address.","Verifique o endereço de envio."
"An unexpected error occurred, please try again.","Ocorreu um erro inesperado, por favor tente novamente."
"Please use another card if the problem persists please contact PayPal (0800-047-4482).","Por favor utilize outro cartão, caso o problema persista entre em contato com o PayPal (0800-047-4482)."
"Your payment was not approved. Please use another card if the problem persists please contact PayPal (0800-047-4482).","Seu pagamento não foi aprovado. Por favor utilize outro cartão, caso o problema persista entre em contato com o PayPal (0800-047-4482)."
"An unexpected error occurred, please try again.","Ocorreu um erro inesperado, por favor tente novamente."
"Your session has expired, please try again.","A sua sessão expirou, por favor tente novamente."
"Please review the credit card data entered.","Por favor revise os dados de Cartão de Crédito inseridos."
"<div><span>Error loading the payment method. Please try again, if problem persists contact us.</span></div>","<div><span>Erro ao carregar o meio de pagamento. Tente novamente, se o problema persistir entre em contato.</span></div>"
"We cannot process PayPal Payments at this time. Please try again later","Não podemos processar os Pagamentos do PayPal neste momento. Por favor, tente novamente mais tarde"
"In order to use this payment method, please select it and add a Billing Address.","Para usar este método de pagamento, selecione-o e adicione um endereço de cobrança."
"Please specify an e-mail address and try again","Por favor, especifique um endereço de e-mail e tente novamente"
"Payment has been authorized.","O pagamento foi autorizado."
"Payment has been rejected, please try again with a different card.","O pagamento foi rejeitado, tente novamente com um cartão diferente."
"Continue","Continuar"
"Place Order","Finalizar"
"PayPal","PayPal"
"PayPal Plus","PayPal Plus"
"The experience of an unbranded checkout processed with PayPal security. The user makes the payment directly on your website using only his credit card, without the need of a PayPal account.","A experiência de um checkout transparente processado com a segurança do PayPal. O cliente não deixa o seu site para realizar o pagamento e utiliza apenas o cartão de crédito, não havendo a necessidade de ter uma conta PayPal."
"Enable this Solution","Ative esta Solução"
"Exhibition Name","Nome de Exibição"
"It's going to be display on checkout: Credit Card 'Exhibition Name'","Será exibido no checkout: Cartão de Crédito 'Nome de Exibição'"
"By default, the PayPal Plus solution is displayed as a 'Credit Card'. Use this option to set additional text, such as installments or discounts.","Por padrão, a solução PayPal Plus é exibida como um 'Cartão de crédito'. Use esta opção para definir texto adicional, como parcelamento ou descontos."
"Mode","Modo"
"Use this option to switch between Sandbox and Live modes. Sandbox is used for testing and Live for actual purchases.","Use esta opção para alternar entre os modos Sandbox e Live. Sandbox é usado para testes e produção para compras reais."
"Client ID (Sandbox)","Client ID (Sandbox)"
"<![CDATA[To generate the Client ID, access <a href="#">here</a> and look for the "REST API Apps" section.]]>","<![CDATA[Para gerar o Client ID, acesse <a href="#">aqui</a>  e procure a seção "REST API Apps".]]>"
"Secret ID (Sandbox)","Secret ID (Sandbox)"
"<![CDATA[To generate the Secret ID, access <a href="#">here</a> and look for the "REST API Apps" section.]]>","<![CDATA[Para gerar o the Secret ID, acesse <a href="#">aqui</a> e procure a seção "REST API Apps".]]>"
"Client ID (Live)","Client ID (Live)"
"Secret ID (Live)","Secret ID (Live)"
"New Order Status","Status de novo pedido"
"Reject Order Status","Status de pedido rejeitado"
"Review Order Status","Status de pedido em revisão"
"Sort Order","Sort Order"
"Depuration Mode","Modo de Depuração"
"The logs will be saved at: var/log/paypalbr/paypal_plus/","Os logs serão salvos em: var/log/paypalbr/paypal_plus/"
"The logs will be saved at: var/log/paypalbr/paypal_expresscheckout/","Os logs serão salvos em: var/log/paypalbr/paypal_expresscheckout/"
"Enable this mode to debug the application.","Ative este modo para depurar a aplicação."
"Create order from declined transactions","Criar pedido com o pagamento não aprovado"
"When activated, declined transactions will generate orders.","Quando ativado, serão criados pedidos mesmo quando o pagamento não é aprovado."
"Payment is being processed.","Pagamento está sendo processado."
"Invoice #%1 ","Pedido #%1 "
"- Store: #%1","- Loja: #%1"
"Refunded","Reembolsado"
"Enable fixed form height","Habilitar altura fixa do formulário"
"Form height","Altura do formulário"
"Height in pixel ex: 500","Altura em pixel exemplo: 500"
"State Payment: ","Status Pagamento: "
"Not a valid webhook URL. Url must be contain https.","Não é um URL de webhook válido. Url deve conter https."
"Traditional PayPal solution where your customer pay using his PayPal account or creates one on the purchase flow. Now your customer does not leave your website to complete the payment, all the purchase process happens on the same page with all PayPal protection and security.","Solução tradicional PayPal aonde o seu cliente paga com a conta PayPal ou cria uma no momento da compra. Agora o seu cliente não sai mais do seu site para efetuar o pagamento, todo o processo de compra é realizado na mesma página com toda a proteção e segurança PayPal."
"PayPal Express Checkout BRAZIL","PayPal Smart Payment Button"
"Login with PayPal","Login com PayPal"
"PayPal Shortcut","PayPal Shortcut"
"Enable to minicart and checkout/cart/","Habilitar para o minicart e checkout/cart/"
"Button settings","Configurações de botão"
"Text of button","Texto do botão"
"Finish","Terminar"
"Pay with PayPal","Comprar com PayPal"
"Buy now","Comprar agora"
"Use this to customize the text of the button.","Use isto para personalizar o texto do botão."
"Rounded","Arredondado"
"Rectangular","Retangular"
"Format of button","Formato do botão"
"Use this to customize the format of button.","Use isto para personalizar o formato do botão."
"Color of button","Cor do botão"
"Use this to customize the color of button.","Use isto para personalizar a cor do botão."
"Why buy from PayPal?","Por que comprar com PayPal?"
"Pay with credit cards:","Pague com os cartões de crédito:"
"It's free, easy and secure","É grátis, fácil e seguro"
"Open your account, register your credit cards and start buying with just email and password.","Abra sua conta, cadastre seus cartões de crédito e passe a comprar só com email e senha."
"Continue to earn miles on your credit card","Continue a acumular milhas no seu cartão de crédito"
"Questions you can call","Dúvidas ligue"
"Review Order","Revisar Pedido"
"Shipping Method","Método de envio"
"Please select a shipping method...","Por favor selecione o método de envio..."
"Flat rate","Taxa fixa"
"Free Shipping","Envio grátis"
"Shipping Address","Endereço de entrega"
"Payment Method","Método de pagamento"
"Apply Discount Code","Aplicar cupom de desconto"
"Enter discount code","Insira o código de desconto"
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"Price","Preço"
"Tax","Taxa"
"Apply Discount","Aplicar desconto"
"Grand Total","Total"
"Use your PayPal account to pay faster","Use sua conta PayPal para pagar mais rápido"
"Blue","Azul"
"Black","Preto"
"Gold","Dourado"
"Silver","Prata"
"When activated, the customer will be able to use his PayPal account to login and pay faster","Quando ativada, o cliente poderá utilizar a sua conta PayPal para se logar e pagar mais rápido"
"When activated, the customer will be able to make the payment directly from the cart","Quando ativada, o cliente poderá efetuar o pagamento diretamente do carrinho de compra."
"It's going to be display on checkout: PayPal 'Exhibition Name'","Será exibido no checkout: PayPal 'Nome de Exibição'."
"To generate the Client ID, access https://developer.paypal.com/developer/applications/ and look for the REST API Apps section.","Para gerar o Client ID, acesse https://developer.paypal.com/developer/applications/ e procure a seção <b>REST API Apps</b>."
"To generate the Secret ID, access https://developer.paypal.com/developer/applications/ and look for the REST API Apps section.","Para gerar o Secret ID, acesse https://developer.paypal.com/developer/applications/ e procure a seção <b>REST API Apps<b>."
"When activated, declined transactions will generate orders","Quando ativado, será gerado pedidos mesmo com pagamentos não aprovados."
"Checkout sequence","Posição no checkout"
"- or -","- ou -"
"To edit your address or payment method click the PayPal button","Para editar seu endereço ou método de pagamento clique no botão PayPal"
